name,fileName,emotion,episode
100years,cropped_1,sad,epi38
100years,cropped_10,angry,epi38
100years,cropped_100,None,epi38
100years,cropped_11,happy,epi38
100years,cropped_12,sad,epi38
100years,cropped_13,None,epi38
100years,cropped_14,sad,epi38
100years,cropped_15,sad,epi38
100years,cropped_16,None,epi38
100years,cropped_17,None,epi38
100years,cropped_18,None,epi38
100years,cropped_19,None,epi38
100years,cropped_2,fear,epi38
100years,cropped_20,fear,epi38
100years,cropped_21,happy,epi38
100years,cropped_22,fear,epi38
100years,cropped_23,fear,epi38
100years,cropped_24,happy,epi38
100years,cropped_25,sad,epi38
100years,cropped_26,None,epi38
100years,cropped_27,fear,epi38
100years,cropped_28,None,epi38
100years,cropped_29,sad,epi38
100years,cropped_3,sad,epi38
100years,cropped_30,sad,epi38
100years,cropped_31,disgust,epi38
100years,cropped_32,sad,epi38
100years,cropped_33,None,epi38
100years,cropped_34,sad,epi38
100years,cropped_35,fear,epi38
100years,cropped_36,fear,epi38
100years,cropped_37,angry,epi38
100years,cropped_38,happy,epi38
100years,cropped_39,fear,epi38
100years,cropped_4,happy,epi38
100years,cropped_40,happy,epi38
100years,cropped_41,sad,epi38
100years,cropped_42,sad,epi38
100years,cropped_43,happy,epi38
100years,cropped_44,angry,epi38
100years,cropped_45,None,epi38
100years,cropped_46,sad,epi38
100years,cropped_47,fear,epi38
100years,cropped_48,sad,epi38
100years,cropped_49,fear,epi38
100years,cropped_5,fear,epi38
100years,cropped_50,fear,epi38
100years,cropped_51,happy,epi38
100years,cropped_52,fear,epi38
100years,cropped_53,sad,epi38
100years,cropped_54,happy,epi38
100years,cropped_55,sad,epi38
100years,cropped_56,sad,epi38
100years,cropped_57,sad,epi38
100years,cropped_58,angry,epi38
100years,cropped_59,None,epi38
100years,cropped_6,happy,epi38
100years,cropped_60,sad,epi38
100years,cropped_61,sad,epi38
100years,cropped_62,sad,epi38
100years,cropped_63,sad,epi38
100years,cropped_64,happy,epi38
100years,cropped_65,happy,epi38
100years,cropped_66,sad,epi38
100years,cropped_67,sad,epi38
100years,cropped_68,angry,epi38
100years,cropped_69,angry,epi38
100years,cropped_7,None,epi38
100years,cropped_70,None,epi38
100years,cropped_71,fear,epi38
100years,cropped_72,sad,epi38
100years,cropped_73,surprise,epi38
100years,cropped_74,happy,epi38
100years,cropped_75,None,epi38
100years,cropped_76,sad,epi38
100years,cropped_77,sad,epi38
100years,cropped_78,sad,epi38
100years,cropped_79,sad,epi38
100years,cropped_8,happy,epi38
100years,cropped_80,fear,epi38
100years,cropped_81,happy,epi38
100years,cropped_82,sad,epi38
100years,cropped_83,sad,epi38
100years,cropped_84,sad,epi38
100years,cropped_85,None,epi38
100years,cropped_86,fear,epi38
100years,cropped_87,happy,epi38
100years,cropped_88,fear,epi38
100years,cropped_89,angry,epi38
100years,cropped_9,happy,epi38
100years,cropped_90,fear,epi38
100years,cropped_91,fear,epi38
100years,cropped_92,sad,epi38
100years,cropped_93,fear,epi38
100years,cropped_94,happy,epi38
100years,cropped_95,None,epi38
100years,cropped_96,sad,epi38
100years,cropped_97,fear,epi38
100years,cropped_98,sad,epi38
100years,cropped_99,sad,epi38
100years,cropped_1,None,epi31
100years,cropped_10,sad,epi31
100years,cropped_100,None,epi31
100years,cropped_11,sad,epi31
100years,cropped_12,fear,epi31
100years,cropped_13,fear,epi31
100years,cropped_14,fear,epi31
100years,cropped_15,sad,epi31
100years,cropped_16,happy,epi31
100years,cropped_17,surprise,epi31
100years,cropped_18,sad,epi31
100years,cropped_19,fear,epi31
100years,cropped_2,sad,epi31
100years,cropped_20,surprise,epi31
100years,cropped_21,sad,epi31
100years,cropped_22,sad,epi31
100years,cropped_23,sad,epi31
100years,cropped_24,sad,epi31
100years,cropped_25,sad,epi31
100years,cropped_26,fear,epi31
100years,cropped_27,None,epi31
100years,cropped_28,happy,epi31
100years,cropped_29,sad,epi31
100years,cropped_3,sad,epi31
100years,cropped_30,happy,epi31
100years,cropped_31,sad,epi31
