emotion,count,episode
sad,36,epi38
fear,21,epi38
happy,18,epi38
None,16,epi38
angry,7,epi38
disgust,1,epi38
surprise,1,epi38
sad,48,epi31
fear,19,epi31
None,14,epi31
happy,13,epi31
surprise,3,epi31
angry,3,epi31
sad,38,epi36
None,22,epi36
fear,17,epi36
happy,15,epi36
surprise,4,epi36
angry,3,epi36
disgust,1,epi36
sad,38,epi37
happy,24,epi37
fear,19,epi37
None,13,epi37
angry,3,epi37
surprise,3,epi37
sad,39,epi30
fear,22,epi30
None,18,epi30
happy,11,epi30
angry,7,epi30
surprise,2,epi30
disgust,1,epi30
sad,43,epi39
fear,18,epi39
None,15,epi39
happy,15,epi39
angry,4,epi39
surprise,4,epi39
disgust,1,epi39
sad,41,epi7
happy,16,epi7
fear,15,epi7
None,13,epi7
angry,11,epi7
surprise,3,epi7
disgust,1,epi7
sad,46,epi9
None,19,epi9
fear,13,epi9
happy,12,epi9
surprise,7,epi9
angry,2,epi9
disgust,1,epi9
sad,47,epi8
happy,17,epi8
fear,14,epi8
None,13,epi8
angry,5,epi8
disgust,2,epi8
surprise,2,epi8
sad,41,epi6
fear,21,epi6
happy,18,epi6
None,12,epi6
surprise,5,epi6
angry,3,epi6
sad,40,epi1
happy,22,epi1
fear,15,epi1
None,14,epi1
surprise,9,epi1
angry,3,epi1
sad,32,epi41
happy,23,epi41
None,18,epi41
fear,11,epi41
surprise,7,epi41
angry,6,epi41
disgust,3,epi41
sad,29,epi46
fear,22,epi46
None,21,epi46
happy,14,epi46
angry,8,epi46
disgust,5,epi46
surprise,1,epi46
sad,55,epi48
None,24,epi48
happy,10,epi48
fear,9,epi48
surprise,1,epi48
disgust,1,epi48
fear,31,epi23
sad,28,epi23
None,25,epi23
happy,23,epi23
surprise,2,epi23
angry,1,epi23
sad,33,epi24
fear,22,epi24
happy,21,epi24
None,12,epi24
angry,5,epi24
disgust,4,epi24
surprise,3,epi24
sad,51,epi12
fear,17,epi12
happy,15,epi12
None,11,epi12
angry,4,epi12
disgust,2,epi12
sad,45,epi15
happy,20,epi15
None,17,epi15
fear,9,epi15
angry,4,epi15
disgust,3,epi15
surprise,2,epi15
sad,27,epi49
fear,24,epi49
happy,17,epi49
None,17,epi49
disgust,8,epi49
surprise,4,epi49
angry,3,epi49
sad,42,epi47
happy,19,epi47
fear,15,epi47
None,13,epi47
angry,8,epi47
disgust,2,epi47
surprise,1,epi47
fear,26,epi40
sad,26,epi40
happy,24,epi40
None,15,epi40
surprise,4,epi40
disgust,3,epi40
angry,2,epi40
sad,42,epi14
None,22,epi14
fear,19,epi14
happy,8,epi14
angry,5,epi14
surprise,3,epi14
disgust,1,epi14
sad,39,epi13
happy,27,epi13
fear,17,epi13
None,10,epi13
angry,3,epi13
disgust,2,epi13
surprise,2,epi13
sad,35,epi25
happy,24,epi25
fear,16,epi25
None,13,epi25
angry,7,epi25
surprise,3,epi25
disgust,2,epi25
sad,44,epi22
None,22,epi22
fear,14,epi22
happy,9,epi22
angry,8,epi22
surprise,3,epi22
sad,34,epi50
fear,26,epi50
None,16,epi50
angry,11,epi50
happy,8,epi50
surprise,3,epi50
disgust,2,epi50
sad,39,epi35
fear,19,epi35
None,18,epi35
happy,14,epi35
disgust,5,epi35
angry,3,epi35
surprise,2,epi35
sad,38,epi32
fear,19,epi32
None,18,epi32
happy,16,epi32
surprise,6,epi32
disgust,2,epi32
angry,1,epi32
sad,37,epi33
fear,21,epi33
None,18,epi33
happy,10,epi33
angry,9,epi33
surprise,3,epi33
disgust,2,epi33
sad,43,epi34
fear,18,epi34
None,15,epi34
happy,13,epi34
angry,9,epi34
disgust,1,epi34
surprise,1,epi34
sad,40,epi4
fear,19,epi4
happy,18,epi4
None,17,epi4
surprise,4,epi4
angry,2,epi4
sad,37,epi3
fear,22,epi3
None,21,epi3
happy,20,epi3
surprise,3,epi3
sad,37,epi2
fear,24,epi2
happy,18,epi2
None,13,epi2
surprise,5,epi2
angry,4,epi2
disgust,2,epi2
sad,39,epi5
fear,21,epi5
happy,17,epi5
None,14,epi5
angry,5,epi5
surprise,3,epi5
disgust,1,epi5
sad,48,epi27
happy,17,epi27
fear,16,epi27
None,15,epi27
angry,3,epi27
surprise,1,epi27
sad,38,epi18
fear,18,epi18
happy,18,epi18
None,15,epi18
angry,6,epi18
surprise,5,epi18
sad,35,epi20
None,25,epi20
happy,23,epi20
fear,13,epi20
angry,4,epi20
sad,40,epi16
fear,26,epi16
None,14,epi16
happy,13,epi16
angry,4,epi16
surprise,2,epi16
disgust,1,epi16
sad,38,epi29
None,29,epi29
happy,13,epi29
fear,12,epi29
disgust,3,epi29
surprise,3,epi29
angry,2,epi29
sad,49,epi11
fear,13,epi11
None,13,epi11
happy,11,epi11
angry,11,epi11
surprise,2,epi11
disgust,1,epi11
sad,19,epi45
fear,17,epi45
None,14,epi45
happy,10,epi45
disgust,3,epi45
surprise,2,epi45
angry,2,epi45
sad,35,epi42
happy,22,epi42
fear,17,epi42
None,15,epi42
angry,7,epi42
surprise,2,epi42
disgust,2,epi42
sad,39,epi10
happy,21,epi10
fear,21,epi10
None,14,epi10
surprise,2,epi10
angry,2,epi10
disgust,1,epi10
sad,33,epi17
None,25,epi17
happy,19,epi17
fear,14,epi17
angry,6,epi17
surprise,3,epi17
sad,43,epi28
None,20,epi28
fear,17,epi28
happy,11,epi28
surprise,4,epi28
disgust,3,epi28
angry,2,epi28
sad,31,epi21
fear,24,epi21
None,24,epi21
happy,16,epi21
angry,3,epi21
surprise,2,epi21
sad,48,epi26
None,18,epi26
happy,17,epi26
fear,13,epi26
angry,3,epi26
surprise,1,epi26
sad,26,epi19
fear,22,epi19
None,21,epi19
happy,19,epi19
angry,7,epi19
surprise,4,epi19
disgust,1,epi19
sad,32,epi43
happy,24,epi43
fear,20,epi43
None,14,epi43
angry,5,epi43
surprise,3,epi43
disgust,2,epi43
sad,31,epi44
None,23,epi44
fear,19,epi44
happy,11,epi44
surprise,7,epi44
angry,5,epi44
disgust,4,epi44
