name,fileName,emotion,episode,rating
100years,cropped_1,sad,epi4_100_face,16.2
100years,cropped_10,fear,epi4_100_face,16.2
100years,cropped_100,fear,epi4_100_face,16.2
100years,cropped_101,sad,epi4_100_face,16.2
100years,cropped_102,fear,epi4_100_face,16.2
100years,cropped_103,sad,epi4_100_face,16.2
100years,cropped_11,None,epi4_100_face,16.2
100years,cropped_12,sad,epi4_100_face,16.2
100years,cropped_13,sad,epi4_100_face,16.2
100years,cropped_14,happy,epi4_100_face,16.2
100years,cropped_15,sad,epi4_100_face,16.2
100years,cropped_16,sad,epi4_100_face,16.2
100years,cropped_17,happy,epi4_100_face,16.2
100years,cropped_18,None,epi4_100_face,16.2
100years,cropped_19,None,epi4_100_face,16.2
100years,cropped_2,sad,epi4_100_face,16.2
100years,cropped_20,None,epi4_100_face,16.2
100years,cropped_21,fear,epi4_100_face,16.2
100years,cropped_22,None,epi4_100_face,16.2
100years,cropped_23,sad,epi4_100_face,16.2
100years,cropped_24,sad,epi4_100_face,16.2
100years,cropped_25,None,epi4_100_face,16.2
100years,cropped_26,sad,epi4_100_face,16.2
100years,cropped_27,sad,epi4_100_face,16.2
100years,cropped_28,happy,epi4_100_face,16.2
100years,cropped_29,fear,epi4_100_face,16.2
100years,cropped_3,sad,epi4_100_face,16.2
100years,cropped_30,fear,epi4_100_face,16.2
100years,cropped_31,happy,epi4_100_face,16.2
100years,cropped_32,sad,epi4_100_face,16.2
100years,cropped_33,sad,epi4_100_face,16.2
100years,cropped_34,fear,epi4_100_face,16.2
100years,cropped_35,sad,epi4_100_face,16.2
100years,cropped_36,None,epi4_100_face,16.2
100years,cropped_37,happy,epi4_100_face,16.2
100years,cropped_38,happy,epi4_100_face,16.2
100years,cropped_39,surprise,epi4_100_face,16.2
100years,cropped_4,fear,epi4_100_face,16.2
100years,cropped_40,sad,epi4_100_face,16.2
100years,cropped_41,surprise,epi4_100_face,16.2
100years,cropped_42,angry,epi4_100_face,16.2
100years,cropped_44,fear,epi4_100_face,16.2
100years,cropped_45,happy,epi4_100_face,16.2
100years,cropped_46,fear,epi4_100_face,16.2
100years,cropped_47,sad,epi4_100_face,16.2
100years,cropped_48,sad,epi4_100_face,16.2
100years,cropped_49,fear,epi4_100_face,16.2
100years,cropped_5,fear,epi4_100_face,16.2
100years,cropped_50,sad,epi4_100_face,16.2
100years,cropped_51,happy,epi4_100_face,16.2
100years,cropped_52,sad,epi4_100_face,16.2
100years,cropped_55,sad,epi4_100_face,16.2
100years,cropped_56,sad,epi4_100_face,16.2
100years,cropped_57,None,epi4_100_face,16.2
100years,cropped_58,surprise,epi4_100_face,16.2
100years,cropped_59,None,epi4_100_face,16.2
100years,cropped_6,happy,epi4_100_face,16.2
100years,cropped_60,fear,epi4_100_face,16.2
100years,cropped_61,sad,epi4_100_face,16.2
100years,cropped_62,happy,epi4_100_face,16.2
100years,cropped_63,sad,epi4_100_face,16.2
100years,cropped_64,None,epi4_100_face,16.2
100years,cropped_65,happy,epi4_100_face,16.2
100years,cropped_66,happy,epi4_100_face,16.2
100years,cropped_67,sad,epi4_100_face,16.2
100years,cropped_68,None,epi4_100_face,16.2
100years,cropped_69,happy,epi4_100_face,16.2
100years,cropped_7,happy,epi4_100_face,16.2
100years,cropped_70,sad,epi4_100_face,16.2
100years,cropped_71,None,epi4_100_face,16.2
100years,cropped_72,None,epi4_100_face,16.2
100years,cropped_73,sad,epi4_100_face,16.2
100years,cropped_74,sad,epi4_100_face,16.2
100years,cropped_75,sad,epi4_100_face,16.2
100years,cropped_76,sad,epi4_100_face,16.2
100years,cropped_77,sad,epi4_100_face,16.2
100years,cropped_78,happy,epi4_100_face,16.2
100years,cropped_79,surprise,epi4_100_face,16.2
100years,cropped_8,fear,epi4_100_face,16.2
100years,cropped_80,angry,epi4_100_face,16.2
100years,cropped_81,fear,epi4_100_face,16.2
100years,cropped_82,fear,epi4_100_face,16.2
100years,cropped_83,happy,epi4_100_face,16.2
100years,cropped_84,fear,epi4_100_face,16.2
100years,cropped_85,sad,epi4_100_face,16.2
100years,cropped_86,sad,epi4_100_face,16.2
100years,cropped_87,None,epi4_100_face,16.2
100years,cropped_88,None,epi4_100_face,16.2
100years,cropped_89,sad,epi4_100_face,16.2
100years,cropped_9,happy,epi4_100_face,16.2
100years,cropped_90,None,epi4_100_face,16.2
100years,cropped_91,sad,epi4_100_face,16.2
100years,cropped_92,sad,epi4_100_face,16.2
100years,cropped_93,sad,epi4_100_face,16.2
100years,cropped_94,happy,epi4_100_face,16.2
100years,cropped_95,sad,epi4_100_face,16.2
100years,cropped_96,sad,epi4_100_face,16.2
100years,cropped_97,fear,epi4_100_face,16.2
100years,cropped_98,None,epi4_100_face,16.2
100years,cropped_99,fear,epi4_100_face,16.2
100years,cropped_1,fear,epi2_100_face,15.6
100years,cropped_10,disgust,epi2_100_face,15.6
100years,cropped_100,fear,epi2_100_face,15.6
100years,cropped_101,sad,epi2_100_face,15.6
100years,cropped_102,sad,epi2_100_face,15.6
100years,cropped_103,sad,epi2_100_face,15.6
100years,cropped_104,None,epi2_100_face,15.6
100years,cropped_11,happy,epi2_100_face,15.6
100years,cropped_12,fear,epi2_100_face,15.6
100years,cropped_13,disgust,epi2_100_face,15.6
100years,cropped_14,angry,epi2_100_face,15.6
100years,cropped_15,surprise,epi2_100_face,15.6
100years,cropped_16,angry,epi2_100_face,15.6
100years,cropped_17,sad,epi2_100_face,15.6
100years,cropped_18,happy,epi2_100_face,15.6
100years,cropped_19,fear,epi2_100_face,15.6
100years,cropped_2,fear,epi2_100_face,15.6
100years,cropped_20,fear,epi2_100_face,15.6
100years,cropped_21,sad,epi2_100_face,15.6
100years,cropped_22,happy,epi2_100_face,15.6
100years,cropped_23,sad,epi2_100_face,15.6
100years,cropped_24,None,epi2_100_face,15.6
100years,cropped_25,sad,epi2_100_face,15.6
100years,cropped_26,fear,epi2_100_face,15.6
100years,cropped_27,surprise,epi2_100_face,15.6
100years,cropped_28,happy,epi2_100_face,15.6
100years,cropped_29,sad,epi2_100_face,15.6
100years,cropped_3,fear,epi2_100_face,15.6
100years,cropped_30,sad,epi2_100_face,15.6
100years,cropped_31,fear,epi2_100_face,15.6
100years,cropped_32,None,epi2_100_face,15.6
100years,cropped_33,sad,epi2_100_face,15.6
100years,cropped_34,happy,epi2_100_face,15.6
100years,cropped_35,happy,epi2_100_face,15.6
100years,cropped_36,sad,epi2_100_face,15.6
100years,cropped_37,sad,epi2_100_face,15.6
100years,cropped_38,happy,epi2_100_face,15.6
100years,cropped_39,sad,epi2_100_face,15.6
100years,cropped_4,fear,epi2_100_face,15.6
100years,cropped_40,happy,epi2_100_face,15.6
100years,cropped_41,happy,epi2_100_face,15.6
100years,cropped_42,happy,epi2_100_face,15.6
100years,cropped_44,fear,epi2_100_face,15.6
100years,cropped_45,fear,epi2_100_face,15.6
100years,cropped_46,surprise,epi2_100_face,15.6
100years,cropped_47,happy,epi2_100_face,15.6
100years,cropped_48,fear,epi2_100_face,15.6
100years,cropped_49,surprise,epi2_100_face,15.6
100years,cropped_5,sad,epi2_100_face,15.6
100years,cropped_50,sad,epi2_100_face,15.6
100years,cropped_51,fear,epi2_100_face,15.6
100years,cropped_52,sad,epi2_100_face,15.6
100years,cropped_53,happy,epi2_100_face,15.6
100years,cropped_54,happy,epi2_100_face,15.6
100years,cropped_55,fear,epi2_100_face,15.6
100years,cropped_56,fear,epi2_100_face,15.6
100years,cropped_57,None,epi2_100_face,15.6
100years,cropped_58,happy,epi2_100_face,15.6
100years,cropped_59,sad,epi2_100_face,15.6
100years,cropped_6,None,epi2_100_face,15.6
100years,cropped_60,sad,epi2_100_face,15.6
100years,cropped_61,sad,epi2_100_face,15.6
100years,cropped_62,sad,epi2_100_face,15.6
100years,cropped_63,fear,epi2_100_face,15.6
100years,cropped_64,None,epi2_100_face,15.6
100years,cropped_65,sad,epi2_100_face,15.6
100years,cropped_66,sad,epi2_100_face,15.6
100years,cropped_67,None,epi2_100_face,15.6
100years,cropped_68,None,epi2_100_face,15.6
100years,cropped_69,fear,epi2_100_face,15.6
100years,cropped_7,sad,epi2_100_face,15.6
100years,cropped_70,sad,epi2_100_face,15.6
100years,cropped_71,sad,epi2_100_face,15.6
100years,cropped_72,None,epi2_100_face,15.6
100years,cropped_73,sad,epi2_100_face,15.6
100years,cropped_74,happy,epi2_100_face,15.6
100years,cropped_75,sad,epi2_100_face,15.6
100years,cropped_76,sad,epi2_100_face,15.6
100years,cropped_77,sad,epi2_100_face,15.6
100years,cropped_78,None,epi2_100_face,15.6
100years,cropped_79,happy,epi2_100_face,15.6
100years,cropped_8,None,epi2_100_face,15.6
100years,cropped_80,None,epi2_100_face,15.6
100years,cropped_81,sad,epi2_100_face,15.6
100years,cropped_82,fear,epi2_100_face,15.6
100years,cropped_83,angry,epi2_100_face,15.6
100years,cropped_84,fear,epi2_100_face,15.6
100years,cropped_85,sad,epi2_100_face,15.6
100years,cropped_86,happy,epi2_100_face,15.6
100years,cropped_87,fear,epi2_100_face,15.6
100years,cropped_88,sad,epi2_100_face,15.6
100years,cropped_89,sad,epi2_100_face,15.6
100years,cropped_9,fear,epi2_100_face,15.6
100years,cropped_90,fear,epi2_100_face,15.6
100years,cropped_91,surprise,epi2_100_face,15.6
