fileName,emotion
cropped_49,sad
cropped_75,happy
cropped_61,None
cropped_60,sad
cropped_74,fear
cropped_48,sad
cropped_62,fear
cropped_76,happy
cropped_89,sad
cropped_88,sad
cropped_77,sad
cropped_63,fear
cropped_67,happy
cropped_73,sad
cropped_98,None
cropped_100,happy
cropped_101,None
cropped_99,None
cropped_72,sad
cropped_66,fear
cropped_70,sad
cropped_64,fear
cropped_58,sad
cropped_59,None
cropped_65,angry
cropped_6,fear
cropped_7,None
cropped_17,None
cropped_29,surprise
cropped_15,sad
cropped_5,happy
cropped_4,sad
cropped_14,sad
cropped_28,happy
cropped_10,fear
cropped_38,sad
cropped_1,fear
cropped_39,sad
cropped_11,sad
cropped_13,sad
cropped_3,fear
cropped_2,sad
cropped_12,sad
cropped_37,sad
cropped_23,fear
cropped_22,sad
cropped_36,sad
cropped_20,None
cropped_34,None
cropped_35,sad
cropped_21,sad
cropped_25,None
cropped_31,sad
cropped_19,None
cropped_9,fear
cropped_8,None
cropped_18,None
cropped_30,sad
cropped_24,surprise
cropped_32,sad
cropped_26,sad
cropped_27,None
cropped_33,sad
cropped_68,None
cropped_54,happy
cropped_40,sad
cropped_97,happy
cropped_83,None
cropped_82,disgust
cropped_96,sad
cropped_41,sad
cropped_55,sad
cropped_69,None
cropped_43,happy
cropped_57,sad
cropped_80,None
cropped_94,sad
cropped_95,happy
cropped_81,None
cropped_56,sad
cropped_42,None
cropped_46,None
cropped_52,fear
cropped_85,fear
cropped_91,None
cropped_90,surprise
cropped_84,sad
cropped_53,None
cropped_51,sad
cropped_45,sad
cropped_79,sad
cropped_92,sad
cropped_86,sad
cropped_87,surprise
cropped_93,surprise
cropped_78,None
cropped_44,None
cropped_50,fear
