name,fileName,emotion,episode
yawang,cropped_1,None,epi7
yawang,cropped_10,sad,epi7
yawang,cropped_100,sad,epi7
yawang,cropped_11,None,epi7
yawang,cropped_12,happy,epi7
yawang,cropped_13,fear,epi7
yawang,cropped_14,fear,epi7
yawang,cropped_15,fear,epi7
yawang,cropped_16,None,epi7
yawang,cropped_17,None,epi7
yawang,cropped_18,fear,epi7
yawang,cropped_19,None,epi7
yawang,cropped_2,happy,epi7
yawang,cropped_20,None,epi7
yawang,cropped_21,happy,epi7
yawang,cropped_22,surprise,epi7
yawang,cropped_23,None,epi7
yawang,cropped_24,None,epi7
yawang,cropped_25,surprise,epi7
yawang,cropped_26,angry,epi7
yawang,cropped_27,sad,epi7
yawang,cropped_28,sad,epi7
yawang,cropped_29,angry,epi7
yawang,cropped_3,sad,epi7
yawang,cropped_30,disgust,epi7
yawang,cropped_31,surprise,epi7
yawang,cropped_32,fear,epi7
yawang,cropped_33,None,epi7
yawang,cropped_34,happy,epi7
yawang,cropped_35,sad,epi7
yawang,cropped_36,None,epi7
yawang,cropped_37,sad,epi7
yawang,cropped_38,fear,epi7
yawang,cropped_39,surprise,epi7
yawang,cropped_4,None,epi7
yawang,cropped_40,sad,epi7
yawang,cropped_41,sad,epi7
yawang,cropped_42,happy,epi7
yawang,cropped_43,sad,epi7
yawang,cropped_44,sad,epi7
yawang,cropped_45,sad,epi7
yawang,cropped_46,surprise,epi7
yawang,cropped_47,surprise,epi7
yawang,cropped_48,fear,epi7
yawang,cropped_49,happy,epi7
yawang,cropped_5,None,epi7
yawang,cropped_50,fear,epi7
yawang,cropped_51,sad,epi7
yawang,cropped_52,sad,epi7
yawang,cropped_53,sad,epi7
yawang,cropped_54,None,epi7
yawang,cropped_55,fear,epi7
yawang,cropped_56,None,epi7
yawang,cropped_57,sad,epi7
yawang,cropped_58,sad,epi7
yawang,cropped_59,fear,epi7
yawang,cropped_6,sad,epi7
yawang,cropped_60,happy,epi7
yawang,cropped_61,fear,epi7
yawang,cropped_62,angry,epi7
yawang,cropped_63,sad,epi7
yawang,cropped_64,fear,epi7
yawang,cropped_65,fear,epi7
yawang,cropped_66,None,epi7
yawang,cropped_67,None,epi7
yawang,cropped_68,sad,epi7
yawang,cropped_69,angry,epi7
yawang,cropped_7,fear,epi7
yawang,cropped_70,None,epi7
yawang,cropped_71,fear,epi7
yawang,cropped_72,happy,epi7
yawang,cropped_73,sad,epi7
yawang,cropped_74,happy,epi7
yawang,cropped_75,fear,epi7
yawang,cropped_76,angry,epi7
yawang,cropped_77,sad,epi7
yawang,cropped_78,None,epi7
yawang,cropped_79,angry,epi7
yawang,cropped_8,sad,epi7
yawang,cropped_80,sad,epi7
yawang,cropped_81,sad,epi7
yawang,cropped_82,fear,epi7
yawang,cropped_83,sad,epi7
yawang,cropped_84,happy,epi7
yawang,cropped_85,None,epi7
yawang,cropped_86,fear,epi7
yawang,cropped_87,sad,epi7
yawang,cropped_88,surprise,epi7
yawang,cropped_89,None,epi7
yawang,cropped_9,happy,epi7
yawang,cropped_90,sad,epi7
yawang,cropped_91,sad,epi7
yawang,cropped_92,happy,epi7
yawang,cropped_93,happy,epi7
yawang,cropped_94,None,epi7
yawang,cropped_95,happy,epi7
yawang,cropped_96,None,epi7
yawang,cropped_97,None,epi7
yawang,cropped_98,happy,epi7
yawang,cropped_99,fear,epi7
yawang,cropped_1,fear,epi9
yawang,cropped_10,None,epi9
yawang,cropped_100,angry,epi9
yawang,cropped_11,sad,epi9
yawang,cropped_12,happy,epi9
yawang,cropped_13,angry,epi9
yawang,cropped_14,surprise,epi9
yawang,cropped_15,happy,epi9
yawang,cropped_16,happy,epi9
yawang,cropped_17,happy,epi9
yawang,cropped_18,sad,epi9
yawang,cropped_19,happy,epi9
yawang,cropped_2,sad,epi9
yawang,cropped_20,sad,epi9
yawang,cropped_21,happy,epi9
yawang,cropped_22,sad,epi9
yawang,cropped_23,None,epi9
yawang,cropped_24,None,epi9
yawang,cropped_25,happy,epi9
yawang,cropped_26,None,epi9
yawang,cropped_27,None,epi9
yawang,cropped_28,angry,epi9
yawang,cropped_29,angry,epi9
yawang,cropped_3,None,epi9
yawang,cropped_30,disgust,epi9
yawang,cropped_31,angry,epi9
yawang,cropped_32,sad,epi9
yawang,cropped_33,happy,epi9
yawang,cropped_34,fear,epi9
yawang,cropped_35,sad,epi9
yawang,cropped_36,angry,epi9
yawang,cropped_37,sad,epi9
yawang,cropped_38,surprise,epi9
yawang,cropped_39,happy,epi9
yawang,cropped_4,surprise,epi9
yawang,cropped_40,sad,epi9
yawang,cropped_41,fear,epi9
yawang,cropped_42,sad,epi9
yawang,cropped_43,sad,epi9
yawang,cropped_44,happy,epi9
yawang,cropped_45,None,epi9
yawang,cropped_46,happy,epi9
yawang,cropped_47,sad,epi9
yawang,cropped_48,None,epi9
yawang,cropped_49,fear,epi9
yawang,cropped_5,surprise,epi9
yawang,cropped_50,angry,epi9
yawang,cropped_51,None,epi9
yawang,cropped_52,sad,epi9
yawang,cropped_53,sad,epi9
yawang,cropped_54,None,epi9
yawang,cropped_55,None,epi9
yawang,cropped_56,None,epi9
yawang,cropped_57,sad,epi9
yawang,cropped_58,happy,epi9
yawang,cropped_59,sad,epi9
yawang,cropped_6,None,epi9
yawang,cropped_60,sad,epi9
yawang,cropped_61,surprise,epi9
yawang,cropped_62,sad,epi9
yawang,cropped_63,sad,epi9
yawang,cropped_64,fear,epi9
yawang,cropped_65,fear,epi9
yawang,cropped_66,sad,epi9
yawang,cropped_67,fear,epi9
yawang,cropped_68,fear,epi9
yawang,cropped_69,fear,epi9
yawang,cropped_7,None,epi9
yawang,cropped_70,happy,epi9
yawang,cropped_71,sad,epi9
yawang,cropped_72,happy,epi9
yawang,cropped_73,None,epi9
yawang,cropped_74,angry,epi9
yawang,cropped_75,surprise,epi9
yawang,cropped_76,None,epi9
yawang,cropped_77,happy,epi9
yawang,cropped_78,None,epi9
yawang,cropped_79,sad,epi9
yawang,cropped_8,None,epi9
yawang,cropped_80,happy,epi9
yawang,cropped_81,sad,epi9
yawang,cropped_82,sad,epi9
yawang,cropped_83,fear,epi9
yawang,cropped_84,sad,epi9
yawang,cropped_85,sad,epi9
yawang,cropped_86,sad,epi9
yawang,cropped_87,sad,epi9
yawang,cropped_88,happy,epi9
yawang,cropped_89,angry,epi9
yawang,cropped_9,None,epi9
yawang,cropped_90,sad,epi9
yawang,cropped_91,angry,epi9
yawang,cropped_92,fear,epi9
yawang,cropped_93,None,epi9
yawang,cropped_94,None,epi9
yawang,cropped_95,None,epi9
yawang,cropped_96,happy,epi9
yawang,cropped_97,fear,epi9
yawang,cropped_98,happy,epi9
yawang,cropped_99,None,epi9
yawang,cropped_1,sad,epi8
yawang,cropped_10,None,epi8
