emotion,count,episode
sad,29,epi7
None,23,epi7
fear,19,epi7
happy,15,epi7
surprise,7,epi7
angry,6,epi7
disgust,1,epi7
sad,29,epi9
None,23,epi9
happy,19,epi9
fear,12,epi9
angry,10,epi9
surprise,6,epi9
disgust,1,epi9
sad,27,epi8
fear,24,epi8
None,22,epi8
happy,19,epi8
angry,6,epi8
disgust,1,epi8
surprise,1,epi8
sad,42,epi6
None,21,epi6
fear,20,epi6
happy,9,epi6
surprise,5,epi6
angry,2,epi6
disgust,1,epi6
sad,42,epi1
None,25,epi1
fear,14,epi1
happy,10,epi1
surprise,5,epi1
angry,1,epi1
disgust,1,epi1
sad,39,epi23
happy,18,epi23
None,17,epi23
fear,13,epi23
surprise,7,epi23
angry,6,epi23
sad,35,epi24
None,23,epi24
fear,22,epi24
happy,11,epi24
surprise,5,epi24
angry,3,epi24
disgust,1,epi24
sad,35,epi12
happy,24,epi12
fear,20,epi12
None,12,epi12
surprise,6,epi12
angry,3,epi12
sad,34,epi15
happy,27,epi15
fear,22,epi15
None,8,epi15
angry,7,epi15
surprise,1,epi15
disgust,1,epi15
sad,35,epi14
happy,27,epi14
fear,19,epi14
None,14,epi14
surprise,4,epi14
angry,1,epi14
sad,41,epi13
happy,20,epi13
None,20,epi13
fear,15,epi13
surprise,3,epi13
angry,1,epi13
sad,49,epi22
happy,21,epi22
None,11,epi22
fear,10,epi22
surprise,4,epi22
angry,3,epi22
disgust,2,epi22
sad,35,epi4
None,22,epi4
fear,20,epi4
happy,17,epi4
angry,4,epi4
surprise,2,epi4
disgust,2,epi4
sad,29,epi3
happy,24,epi3
None,17,epi3
fear,16,epi3
angry,8,epi3
surprise,4,epi3
disgust,2,epi3
sad,39,epi2
None,23,epi2
fear,23,epi2
happy,13,epi2
angry,3,epi2
surprise,2,epi2
sad,45,epi5
happy,30,epi5
None,28,epi5
fear,24,epi5
angry,8,epi5
surprise,2,epi5
sad,38,epi18
None,22,epi18
fear,17,epi18
happy,13,epi18
surprise,5,epi18
angry,4,epi18
disgust,1,epi18
sad,32,epi20
None,26,epi20
happy,23,epi20
fear,14,epi20
angry,3,epi20
surprise,2,epi20
sad,38,epi16
happy,19,epi16
fear,17,epi16
None,15,epi16
surprise,5,epi16
angry,4,epi16
disgust,2,epi16
sad,35,epi11
fear,21,epi11
happy,20,epi11
None,17,epi11
surprise,5,epi11
angry,1,epi11
disgust,1,epi11
sad,39,epi10
fear,24,epi10
happy,21,epi10
None,10,epi10
angry,3,epi10
surprise,3,epi10
sad,38,epi17
None,21,epi17
fear,17,epi17
happy,16,epi17
surprise,4,epi17
angry,4,epi17
sad,34,epi21
None,17,epi21
happy,15,epi21
fear,15,epi21
angry,11,epi21
surprise,6,epi21
disgust,2,epi21
sad,41,epi19
None,22,epi19
fear,19,epi19
happy,12,epi19
angry,4,epi19
surprise,2,epi19
